Date,OPEN,HIGH,LOW,Close
2014-Q3,"5,400.60","5,644.20","5,370.90","5,632.90"
2014-Q2,"5,484.10","5,526.00","5,373.60","5,395.70"
2014-Q2,"5,494.60","5,541.70","5,372.10","5,492.50"
2014-Q2,"5,395.80","5,554.50","5,350.50","5,489.10"
2014-Q1,"5,391.10","5,462.30","5,288.50","5,394.80"
2014-Q1,"5,187.60","5,461.70","5,052.20","5,404.80"
2014-Q1,"5,356.30","5,383.40","5,158.90","5,190.00"
2013-Q4,"5,322.20","5,367.40","5,028.20","5,352.20"
2013-Q4,"5,419.80","5,439.20","5,284.90","5,320.00"
2013-Q4,"5,218.10","5,457.30","5,118.90","5,425.50"
2013-Q3,"5,127.10","5,314.30","5,115.10","5,218.90"
2013-Q3,"5,062.00","5,168.20","5,007.90","5,135.00"
2013-Q3,"4,802.00","5,098.50","4,702.70","5,052.00"
2013-Q2,"4,919.80","4,933.30","4,632.30","4,802.60"
2013-Q2,"5,187.30","5,249.60","4,897.90","4,926.60"
2013-Q2,"4,964.80","5,195.10","4,883.70","5,191.20"
2013-Q1,"5,093.40","5,163.50","4,927.90","4,966.50"
2013-Q1,"4,883.70","5,112.50","4,869.50","5,104.10"
2013-Q1,"4,648.90","4,906.20","4,656.00","4,878.80"
2012-Q4,"4,509.80","4,688.60","4,500.20","4,648.90"
2012-Q4,"4,510.40","4,519.30","4,334.30","4,506.00"
2012-Q4,"4,384.40","4,581.80","4,375.00","4,517.00"
2012-Q3,"4,310.00","4,421.00","4,261.20","4,387.00"
2012-Q3,"4,264.10","4,403.90","4,212.70","4,316.10"
2012-Q3,"4,098.00","4,288.10","4,062.30","4,269.20"
2012-Q2,"4,075.80","4,159.30","3,985.00","4,094.60"
2012-Q2,"4,398.60","4,448.50","4,024.80","4,076.30"
2012-Q2,"4,348.80","4,397.90","4,246.10","4,396.60"
2012-Q1,"4,291.00","4,361.10","4,143.70","4,335.20"
2012-Q1,"4,259.60","4,318.80","4,170.20","4,298.50"
2012-Q1,"4,069.30","4,315.60","4,069.10","4,262.70"
2011-Q4,"4,157.50","4,335.20","4,038.10","4,056.60"
