"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","Date","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","GDP per capita","Flag Codes","Flags"
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","0","Units","2015","2015","57280.6",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","0","Units","2015","2015","57439.2",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","0","Units","2015","2015","57640",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","0","Units","2015","2015","58012.9",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","0","Units","2015","2015","58497.6",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","0","Units","2015","2015","58831.1",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","0","Units","2015","2015","59162.9",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","0","Units","2015","2015","59497",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","0","Units","2015","2015","59518",,
"USA","United States","B1_GE","Gross domestic product - expenditure approach","HVPVOBARSA","Per Head, US dollars, volume estimates, fixed PPPs, OECD reference year, seasonally adjusted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","0","Units","2015","2015","59778.2",,
